DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2019,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,31480,446050,292235,763315
2020,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,31307,437785,287385,752685
2021,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,33454,455330,298675,779655
2022,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,35792,478415,301220,803125
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,9164,113400,11470,132675
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,8933,110925,14625,132960
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,9262,120115,13965,141725
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,9508,108525,12310,129160
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,9812,110500,13580,131095
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,8919,100610,12960,120900
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,9344,104405,11785,123965
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,10129,100900,12445,119735
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,2924,33365,4625,40940
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,2935,32975,4645,38595
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3117,27985,5955,36895
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3432,28155,6200,38940
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3661,32455,5180,38345
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,2852,30070,5205,37580
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3523,30300,5900,38630
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,4210,37370,7200,47930
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,25498,414065,226090,659330
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,26710,424095,243135,682595
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,27556,443985,240350,695765
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,28788,448575,244075,709305
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,29363,450405,248090,717545
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,28755,450190,245480,721995
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,32308,468410,260125,749615
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,35398,485275,252590,749365
2015,TLF3,Lincolnshire,A-E,Production sector,3259,46300,4250,57145
2016,TLF3,Lincolnshire,A-E,Production sector,3386,43920,4095,53995
2017,TLF3,Lincolnshire,A-E,Production sector,3601,50280,4720,61025
2018,TLF3,Lincolnshire,A-E,Production sector,3722,46750,5345,58695
2019,TLF3,Lincolnshire,A-E,Production sector,3734,45615,3770,56610
2020,TLF3,Lincolnshire,A-E,Production sector,3648,45475,4375,57080
2021,TLF3,Lincolnshire,A-E,Production sector,3805,45205,4860,56215
2022,TLF3,Lincolnshire,A-E,Production sector,4015,44535,3960,55255
2015,TLF3,Lincolnshire,F (41-43),Construction,991,13320,1905,16430
2016,TLF3,Lincolnshire,F (41-43),Construction,1000,14470,2070,17420
2017,TLF3,Lincolnshire,F (41-43),Construction,1063,11015,2570,14580
2018,TLF3,Lincolnshire,F (41-43),Construction,993,10600,2240,14100
2019,TLF3,Lincolnshire,F (41-43),Construction,1060,11625,2085,14905
2020,TLF3,Lincolnshire,F (41-43),Construction,961,10975,1985,14865
2021,TLF3,Lincolnshire,F (41-43),Construction,1073,11535,2365,16300
2022,TLF3,Lincolnshire,F (41-43),Construction,1225,14205,2845,19155
2015,TLF3,Lincolnshire,G-T,Services sector,8075,131880,83205,226380
2016,TLF3,Lincolnshire,G-T,Services sector,8048,133940,90750,233730
2017,TLF3,Lincolnshire,G-T,Services sector,8633,134925,89435,231065
2018,TLF3,Lincolnshire,G-T,Services sector,8953,134705,90000,232950
2019,TLF3,Lincolnshire,G-T,Services sector,9556,136940,91035,238805
2020,TLF3,Lincolnshire,G-T,Services sector,9264,132450,92240,234130
2021,TLF3,Lincolnshire,G-T,Services sector,10308,136635,92155,242675
2022,TLF3,Lincolnshire,G-T,Services sector,11038,141880,94035,242625
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",A-E,Production sector,8009,89900,7770,109320
