DATE,GEOGRAPHY_CODE_ITL321,SIC_2DIGIT_CODE_GVA2023,JOBCOUNT,GVA,Region_name,SIC07_description
2015,TLC23,AB (1-9),45,3,Sunderland,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC23,CA (10-12),445,19,Sunderland,"Manufacture of food, beverages and tobacco"
2015,TLC23,CB (13-15),490,39,Sunderland,"Manufacture of textiles, wearing apparel and leather"
2015,TLC23,CC (16-18),1510,48,Sunderland,Manufacture of wood and paper products and printing
2015,TLC23,CD-CG (19-23),960,60,Sunderland,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC23,CH (24-25),1645,77,Sunderland,Manufacture of basic and fabricated metal products
2015,TLC23,CI-CJ (26-27),1160,60,Sunderland,"Manufacture of electronic, optical and electrical products"
2015,TLC23,CK-CL (28-30),11665,866,Sunderland,Manufacture of machinery and transport equipment
2015,TLC23,DE (35-39),2830,803,Sunderland,"Electricity, gas, water; sewerage and waste management"
2015,TLC23,K (64-66),3610,688,Sunderland,Financial and insurance activities
2015,TLC23,O (84),5070,381,Sunderland,Public administration and defence
2015,TLC23,P (85),6585,340,Sunderland,Education
2015,TLC23,T (97-98),0,7,Sunderland,Activities of households
2015,TLD33,31-32,380,37,Manchester,Manufacture of furniture; other manufacturing
2015,TLD33,33,1145,93,Manchester,Repair and installation of machinery and equipment
2015,TLD33,41,2200,143,Manchester,Construction of buildings
2015,TLD33,42,560,138,Manchester,Civil engineering
2015,TLD33,43,3265,333,Manchester,Specialised construction activities
2015,TLD33,45,1310,119,Manchester,Motor trades
2015,TLD33,46,10130,666,Manchester,Wholesale trade
2015,TLD33,47,13975,989,Manchester,Retail trade
2015,TLD33,49-51,9440,445,Manchester,"Land, water and air transport"
2015,TLD33,52,7310,421,Manchester,Warehousing and transport support activities
2015,TLD33,53,1780,102,Manchester,Postal and courier activities
2015,TLD33,55,3870,222,Manchester,Accommodation
2015,TLD33,56,9000,488,Manchester,Food and beverage service activities
2015,TLD33,58-60,1590,179,Manchester,Publishing; film and TV production and broadcasting
2015,TLD33,61-63,13500,991,Manchester,Telecommunications; information technology
2015,TLD33,68,6000,1017,Manchester,"Real estate activities, excluding imputed rental"
2015,TLD33,69,13625,1174,Manchester,Legal and accounting activities
2015,TLD33,70,9950,499,Manchester,Head offices and management consultancy
2015,TLD33,71,5725,234,Manchester,Architectural and engineering activities
2015,TLD33,72-73,3025,691,Manchester,Research and development; advertising and market research
2015,TLD33,74-75,1300,76,Manchester,"Other professional, scientific and technical activities"
2015,TLD33,77,2380,295,Manchester,Rental and leasing activities
2015,TLD33,78-80,13675,654,Manchester,Employment activities; tourism and security services
2015,TLD33,81,2775,54,Manchester,Services to buildings and landscape activities
2015,TLD33,82,7475,232,Manchester,Office administration and business support activities
2015,TLD33,86,22275,1396,Manchester,Human health activities
2015,TLD33,87,3700,190,Manchester,Residential care activities
2015,TLD33,88,4600,181,Manchester,Social work activities
2015,TLD33,90-91,1375,121,Manchester,"Creative, arts, entertainment and cultural activities"
2015,TLD33,92-93,2520,360,Manchester,Gambling and betting; sports and recreation activities
2015,TLD33,94,2415,69,Manchester,Activities of membership organisations
2015,TLD33,95,275,11,Manchester,"Repair of computers, personal and household goods"
2015,TLD33,96,1425,110,Manchester,Other personal service activities
2015,TLD33,AB (1-9),80,6,Manchester,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLD33,CA (10-12),3065,128,Manchester,"Manufacture of food, beverages and tobacco"
2015,TLD33,CB (13-15),775,122,Manchester,"Manufacture of textiles, wearing apparel and leather"
2015,TLD33,CC (16-18),680,39,Manchester,Manufacture of wood and paper products and printing
