ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLK6,"North Somerset, Somerset and Dorset",F (41-43),Construction,910,1075,1193,1245,1368,1554,1580,1743,1662,1704,1796,1568,1594,1623,1633,1784,1898,2112,2215,2428,2511,2447,2176,2492,2839,3189
TLK6,"North Somerset, Somerset and Dorset",G-T,Services sector,12451,13093,13986,14567,14879,15687,16541,17600,18585,19299,20360,20252,20381,20624,20980,21441,22657,23142,24131,25522,26145,27297,26143,28836,31495,34475
TLK7,Gloucestershire and Wiltshire,A-E,Production sector,4860,4909,4895,4758,5081,5395,5312,5618,5942,6387,6672,6351,6528,6273,6626,7005,7393,7476,7204,7442,7643,8088,7222,7198,8597,9722
TLK7,Gloucestershire and Wiltshire,F (41-43),Construction,874,985,1082,1368,1424,1447,1485,1576,1618,1749,1707,1436,1505,1556,1601,1737,1894,2124,2032,2170,2174,2265,1857,2422,2458,2734
TLK7,Gloucestershire and Wiltshire,G-T,Services sector,13001,13665,14415,15795,16221,17023,18088,18791,19387,20511,21524,21894,22959,23162,23604,24180,25687,25834,26954,28147,29432,30852,30029,32744,35633,37765
TLL3,North Wales,A-E,Production sector,2669,2536,2629,2538,2622,2710,2765,2837,3041,3076,3184,3162,3294,3666,3687,3917,3799,3878,4097,4378,4624,4717,4528,4577,5112,5842
TLL3,North Wales,F (41-43),Construction,373,399,412,461,491,525,539,639,662,693,693,563,578,581,567,618,658,715,813,852,907,948,876,971,1090,1237
TLL3,North Wales,G-T,Services sector,4519,4648,4904,5189,5416,5851,6326,6568,6911,7078,7199,7100,7265,7558,7944,8205,8315,8612,8720,8953,9226,9594,9085,9981,10891,11878
TLL4,Mid and South West Wales,A-E,Production sector,2314,2194,2287,2198,2217,2302,2466,2262,2191,2423,2427,2165,2332,2332,2487,2806,3026,3514,3424,3495,3170,3424,3029,2912,3720,3797
TLL4,Mid and South West Wales,F (41-43),Construction,451,471,485,532,565,597,622,714,764,827,823,704,712,732,733,798,833,868,886,922,1000,991,801,920,1050,1166
TLL4,Mid and South West Wales,G-T,Services sector,6043,6179,6443,6860,7160,7688,8363,8802,9305,9574,9781,9836,9988,10280,10568,10804,11087,11259,11852,12192,12925,13509,12937,13710,14710,15905
TLL5,South East Wales,A-E,Production sector,4038,4061,4318,3998,4158,4300,4228,4366,4687,4761,4809,4924,5269,5529,5758,6094,6355,6420,6406,6646,6804,7035,6789,6168,6777,7452
TLL5,South East Wales,F (41-43),Construction,972,1048,1083,1223,1308,1394,1441,1684,1755,1804,1840,1519,1558,1608,1539,1583,1746,1913,2001,2081,2251,2321,2078,2185,2539,2777
TLL5,South East Wales,G-T,Services sector,11366,11887,12486,13208,13910,14985,16000,16743,17577,18471,18446,18738,18941,19608,20320,20679,21100,21519,22824,23621,24539,25788,24973,26924,29088,31402
TLM0,Eastern Scotland,A-E,Production sector,3633,3451,3350,3189,3247,3394,3473,3477,3937,4066,4240,4180,4096,3964,4224,4413,4425,4519,4654,4817,4812,5087,4880,4879,5485,5587
TLM0,Eastern Scotland,F (41-43),Construction,432,508,522,548,620,644,742,788,872,946,898,710,686,703,771,900,1045,1062,1108,1303,1286,1210,948,1115,1219,1248
TLM0,Eastern Scotland,G-T,Services sector,6431,6583,7055,7574,7981,8569,9004,9555,10122,10586,10878,11103,11117,11530,11893,12423,13034,13303,13519,13881,14025,14845,14142,15227,16319,18015
TLM1,East Central Scotland,A-E,Production sector,3059,2846,2830,2686,2619,2677,2826,2876,3148,3081,3403,3211,3218,2970,2863,3042,3231,3467,3706,3616,3588,3796,3808,4022,4330,4582
TLM1,East Central Scotland,F (41-43),Construction,841,988,1015,1066,1206,1252,1443,1534,1699,1842,1754,1385,1337,1374,1407,1566,1526,1581,1573,1663,1739,1723,1410,1767,2235,2593
TLM1,East Central Scotland,G-T,Services sector,11495,11750,12698,13883,14943,16334,17651,18710,19518,20589,20792,21990,22132,22572,23601,24281,25323,26068,27918,29899,31167,32560,30910,33828,37993,42221
TLM2,Highlands and Islands,A-E,Production sector,1425,1337,1347,1307,1392,1451,1563,1661,1767,1788,2038,2115,2186,2391,2461,2496,2623,2597,2511,2850,2860,3061,2819,2838,3068,3386
TLM2,Highlands and Islands,F (41-43),Construction,377,433,450,428,454,548,578,643,660,708,757,631,646,663,666,749,804,837,828,852,876,896,674,878,944,1041
TLM2,Highlands and Islands,G-T,Services sector,3895,4199,4369,4727,4746,5219,5659,6039,6253,6486,6784,6771,6850,7198,7262,7514,7711,7760,7966,8452,8575,8918,8623,9100,10153,11093
TLM3,West Central Scotland,A-E,Production sector,4072,3675,3652,3631,3743,3865,4076,4196,4540,4312,4642,4533,4262,4419,4561,4670,4980,4779,4604,5015,5093,5471,6036,5903,6070,7215
TLM3,West Central Scotland,F (41-43),Construction,1262,1362,1475,1457,1520,1671,1656,1865,2026,2133,2292,1845,1870,1927,1924,2042,2139,2322,2314,2493,2434,2487,2099,2484,2758,3252
TLM3,West Central Scotland,G-T,Services sector,14439,15078,15711,17138,17572,18524,20034,21527,22426,23050,23972,24133,23827,24493,24919,26106,27657,28192,29082,30571,31361,32742,31093,34534,38007,41414
TLM5,North Eastern Scotland,A-E,Production sector,2696,2542,2448,2569,2677,2452,2522,2770,3273,3683,4226,4045,4105,4101,4583,4829,5096,5062,4214,4367,4224,4343,3914,3911,4130,4218
TLM5,North Eastern Scotland,F (41-43),Construction,520,490,519,536,561,589,676,710,750,816,935,727,759,798,807,844,862,928,930,1013,971,972,788,685,870,1047
TLM5,North Eastern Scotland,G-T,Services sector,5021,5186,5445,5968,6233,6541,6935,7226,8138,9097,9892,10001,10306,10768,11208,11999,12506,11951,11337,11140,11491,11633,10734,11238,12027,13086
